activity_id,activity_name,week,region,channel,strategy_type,customer_segment,lifecycle_stage,reach,conversion,revenue,cost,subsidy_cost,complaint_count,satisfaction,risk_level,roi,conversion_rate,complaint_rate,cac,arpu,net_profit,region_code,channel_code,strategy_code,segment_code,data_source,update_time
A026,W3-华中-WeCom-降频挽留-26,W3,华中,WeCom,降频挽留,大学生,新客,5754,215,6693.32,3452.4,414.29,17,3.74,中,1.731,0.0374,0.003,17.98,31.13,2826.63,4,4,13,1,simulated_telecom_marketing,2026-05-31
A027,W1-西南-Outbound Call-定向促活-27,W1,西南,Outbound Call,定向促活,新晋白领,风险期,34441,1010,29577.69,120543.5,36163.05,592,2.71,高,0.1887,0.0293,0.0172,155.16,29.28,-127128.86,5,3,15,4,simulated_telecom_marketing,2026-05-31
A028,W2-西北-Outbound Call-生日礼遇-28,W2,西北,Outbound Call,生日礼遇,银发女性,沉默期,31659,1323,42731.74,110806.5,33241.95,628,2.98,高,0.2966,0.0418,0.0198,108.88,32.3,-101316.71,6,3,9,17,simulated_telecom_marketing,2026-05-31
A029,W2-华东-App Push-拉新-29,W2,华东,App Push,拉新,大学生,活跃期,15422,816,28700.2,12337.6,1850.64,61,4.58,低,2.0228,0.0529,0.004,17.39,35.17,14511.96,2,2,1,1,simulated_telecom_marketing,2026-05-31
A030,W1-华东-SMS-积分兑换-30,W1,华东,SMS,积分兑换,银发用户,新客,36414,1538,43748.84,18207.0,2731.05,111,3.47,中,2.0894,0.0422,0.003,13.61,28.45,22810.79,2,1,10,3,simulated_telecom_marketing,2026-05-31
A031,W3-西南-WeCom-加购-31,W3,西南,WeCom,加购,游戏玩家,新客,15352,474,12797.49,9211.2,1105.34,44,4.0,低,1.2405,0.0309,0.0029,21.76,27.0,2480.95,5,4,3,6,simulated_telecom_marketing,2026-05-31
A032,W2-华中-Outbound Call-用户投诉安抚策略-32,W2,华中,Outbound Call,用户投诉安抚策略,视频会员,成长期,19566,1976,78694.12,68481.0,20544.3,360,3.0,高,0.884,0.101,0.0184,45.05,39.82,-10331.18,4,3,8,14,simulated_telecom_marketing,2026-05-31
A033,W3-华东-SMS-续约-33,W3,华东,SMS,续约,游戏玩家,新客,11503,342,11218.9,5751.5,862.73,37,4.14,低,1.6962,0.0297,0.0032,19.34,32.8,4604.67,2,1,2,6,simulated_telecom_marketing,2026-05-31
A034,W3-华中-App Push-维系-34,W3,华中,App Push,维系,校园用户,活跃期,20251,696,21453.03,16200.8,2430.12,82,4.07,低,1.1515,0.0344,0.004,26.77,30.82,2822.11,4,2,4,9,simulated_telecom_marketing,2026-05-31
A035,W1-华南-SMS-降频挽留-35,W1,华南,SMS,降频挽留,宝妈群体,沉默期,37165,1150,38500.45,18582.5,2787.38,121,3.34,中,1.8016,0.0309,0.0033,18.58,33.48,17130.57,3,1,13,5,simulated_telecom_marketing,2026-05-31
A036,W3-华南-WeCom-权益升级-36,W3,华南,WeCom,权益升级,价格敏感型,流失风险,19879,774,20197.13,11927.4,1431.29,59,3.57,中,1.5119,0.0389,0.003,17.26,26.09,6838.44,3,4,12,7,simulated_telecom_marketing,2026-05-31
A037,W1-华中-SMS-续约-37,W1,华中,SMS,续约,异地务工,成长期,24197,803,23785.95,12098.5,1814.77,77,3.53,中,1.7096,0.0332,0.0032,17.33,29.62,9872.68,4,1,2,10,simulated_telecom_marketing,2026-05-31
A038,W3-西北-WeCom-拉新-38,W3,西北,WeCom,拉新,蓝领工人,流失风险,27024,1656,45431.22,16214.4,1945.73,87,4.18,低,2.5017,0.0613,0.0032,10.97,27.43,27271.09,6,4,1,18,simulated_telecom_marketing,2026-05-31
A039,W3-华东-App Push-政企营销-39,W3,华东,App Push,政企营销,自驾车主,沉默期,19109,1248,144040.09,15287.2,2293.08,78,3.63,中,8.1933,0.0653,0.0041,14.09,115.42,126459.81,2,2,7,15,simulated_telecom_marketing,2026-05-31
A040,W1-华东-SMS-生日礼遇-40,W1,华东,SMS,生日礼遇,退休教师,沉默期,14003,564,19937.95,7001.5,1050.22,47,2.9,高,2.4762,0.0403,0.0034,14.28,35.35,11886.23,2,1,9,11,simulated_telecom_marketing,2026-05-31
A041,W3-华中-WeCom-积分兑换-41,W3,华中,WeCom,积分兑换,大学生,新客,37013,1200,38280.58,22207.8,2664.94,110,3.66,中,1.5391,0.0324,0.003,20.73,31.9,13407.84,4,4,10,1,simulated_telecom_marketing,2026-05-31
A042,W2-西北-WeCom-生日礼遇-42,W2,西北,WeCom,生日礼遇,宝妈群体,成熟期,27378,792,23748.77,16426.8,1971.22,85,3.61,中,1.2908,0.0289,0.0031,23.23,29.99,5350.75,6,4,9,5,simulated_telecom_marketing,2026-05-31
A043,W3-西南-WeCom-政企营销-43,W3,西南,WeCom,政企营销,蓝领工人,沉默期,38061,1704,235449.54,22836.6,2740.39,119,4.49,低,9.2055,0.0448,0.0031,15.01,138.17,209872.55,5,4,7,18,simulated_telecom_marketing,2026-05-31
A044,W1-华南-WeCom-续约-44,W1,华南,WeCom,续约,视频会员,风险期,39256,1350,46684.23,23553.6,2826.43,120,3.72,中,1.7697,0.0344,0.0031,19.54,34.58,20304.2,3,4,2,14,simulated_telecom_marketing,2026-05-31
A045,W1-华南-WeCom-积分兑换-45,W1,华南,WeCom,积分兑换,校园用户,风险期,7078,267,8773.8,4246.8,509.62,18,3.9,低,1.8446,0.0377,0.0025,17.81,32.86,4017.38,3,4,10,9,simulated_telecom_marketing,2026-05-31
A046,W3-华南-WeCom-降频挽留-46,W3,华南,WeCom,降频挽留,价格敏感型,活跃期,19011,608,19338.45,11406.6,1368.79,47,4.79,低,1.5137,0.032,0.0025,21.01,31.81,6563.06,3,4,13,7,simulated_telecom_marketing,2026-05-31
A047,W1-华东-App Push-权益升级-47,W1,华东,App Push,权益升级,宽带用户,新客,16130,458,15978.75,12904.0,1935.6,52,4.2,低,1.0768,0.0284,0.0032,32.4,34.89,1139.15,2,2,12,13,simulated_telecom_marketing,2026-05-31
A048,W2-西南-WeCom-权益升级-48,W2,西南,WeCom,权益升级,高价值用户,成熟期,17146,487,15489.73,10287.6,1234.51,51,4.12,低,1.3443,0.0284,0.003,23.66,31.81,3967.62,5,4,12,2,simulated_telecom_marketing,2026-05-31
A049,W2-华南-Outbound Call-融合营销-49,W2,华南,Outbound Call,融合营销,蓝领工人,活跃期,22472,956,24874.45,78652.0,23595.6,442,2.19,高,0.2433,0.0425,0.0197,106.95,26.02,-77373.15,3,3,5,18,simulated_telecom_marketing,2026-05-31
A050,W1-华北-App Push-政企营销-50,W1,华北,App Push,政企营销,宝妈群体,成长期,10889,539,66234.17,8711.2,1306.68,34,4.0,低,6.6116,0.0495,0.0031,18.59,122.88,56216.29,1,2,7,5,simulated_telecom_marketing,2026-05-31
A051,W2-华东-WeCom-积分兑换-51,W2,华东,WeCom,积分兑换,商务人士,风险期,12529,367,10386.34,7517.4,902.09,39,4.45,低,1.2336,0.0293,0.0031,22.94,28.3,1966.85,2,4,10,8,simulated_telecom_marketing,2026-05-31
A052,W1-华南-App Push-生日礼遇-52,W1,华南,App Push,生日礼遇,校园用户,沉默期,21204,807,23405.54,16963.2,2544.48,68,4.3,低,1.1998,0.0381,0.0032,24.17,29.0,3897.86,3,2,9,9,simulated_telecom_marketing,2026-05-31
A053,W2-华东-WeCom-拉新-53,W2,华东,WeCom,拉新,新晋白领,成熟期,26745,1430,50673.58,16047.0,1925.64,75,4.51,低,2.8195,0.0535,0.0028,12.57,35.44,32700.94,2,4,1,4,simulated_telecom_marketing,2026-05-31
A054,W2-华中-WeCom-生日礼遇-54,W2,华中,WeCom,生日礼遇,宝妈群体,风险期,32572,1338,44335.75,19543.2,2345.18,107,4.02,低,2.0255,0.0411,0.0033,16.36,33.14,22447.37,4,4,9,5,simulated_telecom_marketing,2026-05-31
A055,W2-西南-SMS-加购-55,W2,西南,SMS,加购,退休教师,成熟期,8401,309,10721.63,4200.5,630.07,27,3.37,中,2.2195,0.0368,0.0032,15.63,34.7,5891.06,5,1,3,11,simulated_telecom_marketing,2026-05-31
A056,W1-西北-WeCom-拉新-56,W1,西北,WeCom,拉新,视频会员,新客,19758,867,23797.37,11854.8,1422.58,55,4.6,低,1.7923,0.0439,0.0028,15.31,27.45,10519.99,6,4,1,14,simulated_telecom_marketing,2026-05-31
A057,W3-华北-Outbound Call-用户投诉安抚策略-57,W3,华北,Outbound Call,用户投诉安抚策略,商务人士,流失风险,7195,969,44343.91,25182.5,7554.75,154,3.49,高,1.3545,0.1347,0.0214,33.78,45.76,11606.66,1,3,8,8,simulated_telecom_marketing,2026-05-31
A058,W2-华中-App Push-老带新-58,W2,华中,App Push,老带新,宽带用户,沉默期,29263,2004,72085.22,23410.4,3511.56,93,4.05,低,2.6776,0.0685,0.0032,13.43,35.97,45163.26,4,2,11,13,simulated_telecom_marketing,2026-05-31
A059,W2-华北-App Push-加购-59,W2,华北,App Push,加购,退休教师,流失风险,30477,1155,34849.54,24381.6,3657.24,99,3.93,低,1.2429,0.0379,0.0032,24.28,30.17,6810.7,1,2,3,11,simulated_telecom_marketing,2026-05-31
A060,W1-华中-Outbound Call-体验试用-60,W1,华中,Outbound Call,体验试用,校园用户,沉默期,23069,796,26187.51,80741.5,24222.45,497,3.31,高,0.2495,0.0345,0.0215,131.86,32.9,-78776.44,4,3,14,9,simulated_telecom_marketing,2026-05-31
A061,W2-华东-WeCom-用户投诉安抚策略-61,W2,华东,WeCom,用户投诉安抚策略,小微企业主,流失风险,34732,4372,215173.64,20839.2,2500.7,84,4.05,低,9.2191,0.1259,0.0024,5.34,49.22,191833.74,2,4,8,12,simulated_telecom_marketing,2026-05-31
A062,W3-西北-Outbound Call-用户投诉安抚策略-62,W3,西北,Outbound Call,用户投诉安抚策略,异地务工,成长期,22527,2663,130729.31,78844.5,23653.35,445,2.94,高,1.2754,0.1182,0.0198,38.49,49.09,28231.46,6,3,8,10,simulated_telecom_marketing,2026-05-31
A063,W3-华东-Outbound Call-用户投诉安抚策略-63,W3,华东,Outbound Call,用户投诉安抚策略,校园用户,流失风险,18067,1768,79480.25,63234.5,18970.35,311,2.85,高,0.9669,0.0979,0.0172,46.5,44.95,-2724.6,2,3,8,9,simulated_telecom_marketing,2026-05-31
A064,W1-西北-WeCom-降频挽留-64,W1,西北,WeCom,降频挽留,宽带用户,成长期,17241,654,19409.22,10344.6,1241.35,44,4.09,低,1.6752,0.0379,0.0026,17.72,29.68,7823.27,6,4,13,13,simulated_telecom_marketing,2026-05-31
A065,W2-华北-SMS-老带新-65,W2,华北,SMS,老带新,自驾车主,成熟期,17471,1031,36816.22,8735.5,1310.33,56,3.5,中,3.6648,0.059,0.0032,9.74,35.71,26770.39,1,1,11,15,simulated_telecom_marketing,2026-05-31
A066,W2-西北-Outbound Call-定向促活-66,W2,西北,Outbound Call,定向促活,价格敏感型,流失风险,18423,702,18535.85,64480.5,19344.15,382,2.93,高,0.2211,0.0381,0.0207,119.41,26.4,-65288.8,6,3,15,7,simulated_telecom_marketing,2026-05-31
A067,W3-华南-Outbound Call-政企营销-67,W3,华南,Outbound Call,政企营销,商务人士,活跃期,36292,2023,251596.12,127022.0,38106.6,678,2.7,高,1.5236,0.0557,0.0187,81.63,124.37,86467.52,3,3,7,8,simulated_telecom_marketing,2026-05-31
A068,W2-华东-SMS-政企营销-68,W2,华东,SMS,政企营销,校园用户,新客,29312,1443,171429.6,14656.0,2198.4,79,3.96,低,10.1712,0.0492,0.0027,11.68,118.8,154575.2,2,1,7,9,simulated_telecom_marketing,2026-05-31
A069,W2-华南-App Push-权益升级-69,W2,华南,App Push,权益升级,自驾车主,沉默期,12434,524,18133.65,9947.2,1492.08,46,4.25,低,1.5852,0.0421,0.0037,21.83,34.61,6694.37,3,2,12,15,simulated_telecom_marketing,2026-05-31
A070,W1-华东-Outbound Call-体验试用-70,W1,华东,Outbound Call,体验试用,宝妈群体,沉默期,6533,246,6779.46,22865.5,6859.65,122,2.66,高,0.2281,0.0377,0.0187,120.83,27.56,-22945.69,2,3,14,5,simulated_telecom_marketing,2026-05-31
A071,W3-华中-SMS-续约-71,W3,华中,SMS,续约,高价值用户,新客,37226,1047,30585.37,18613.0,2791.95,119,3.2,中,1.4289,0.0281,0.0032,20.44,29.21,9180.42,4,1,2,2,simulated_telecom_marketing,2026-05-31
A072,W1-西北-WeCom-体验试用-72,W1,西北,WeCom,体验试用,大学生,沉默期,23788,967,31705.71,14272.8,1712.74,73,4.56,低,1.9834,0.0407,0.0031,16.53,32.79,15720.17,6,4,14,1,simulated_telecom_marketing,2026-05-31
